AAMC
HTBI
HTBK
HTGC
HTH
HTLF
HTS
HWBK
IAC
IBCP
IBKC
IBKR
IBN
IBOC
IBTX
ICBK
ICE
IEP
IFMI
IMH
INBK
INDB
INN
INTG
INTL
IOT
IPCC
IRCP
IRET
IRM
IROQ
IRS
IRT
ISBC
ISTR
ITG
ITIC
ITUB
IVR
IVZ
IX
JCAP
JGW
JLL
JMP
JNS
JP
JPM
JRVR
JTPY
JXSB
KB
KCG
KEY
KFFB
KFS
KIM
KINS
KKR
KRC
KRG
KRNY
KW
LADR
LAMR
LAND
LARK
LAZ
LBAI
LC
LCNB
LFC
LHO
LION
LKFN
LM
LMRK
LNC
LOAN
LOB
LPLA
LPSB
LPT
LSBG
LSBK
LTC
LTS
LTXB
LUK
LXP
LYG
MA
MAA
MAC
MAIN
MARA
MAYS
MBCN
MBFI
MBI
MBRG
MBTF
MBVT
MBWM
MC
MCBC
MCC
MCY
MDLY
MELR
MET
MFA
MFC
MFCB
MFG
MFNC
MFSF
MGI
MGRC
MGYR
MHLD
MITT
MKL
MLP
MLVF
MMAC
MMC
MMI
MN
MNR
MNRK
MOFG
MORE
MPB
MPW
MRCC
MRLN
MS
MSBF
MSFG
MSL
MTB
MTG
MTGE
MTU
MVC
NATL
NAVG
NAVI
NBHC
NBN
NBTB
NCBS
NCOM
NCT
NDAQ
NEN
NEWS
NEWT
NFBK
NGHC
NHI
NHLD
NICK
NKSH
NLY
NMFC
NMIH
NMR
NNI
NNN
NOAH
NRE
NRF
NRIM
NRZ
NSA
NSAM
NSEC
NSM
NTP
NTRS
NWBI
NWFL
NWLI
NXRT
NYCB
NYMT
NYRT
O
OAK
OAKS
OB
OCFC
OCN
OFC
OFED
OFG
OFS
OHAI
OHI
OKSB
OLBK
OLP
OMAM
ONB
ONDK
ONE
OPB
OPHC
OPOF
OPY
ORC
ORI
ORIT
ORM
ORRF
OSBC
OSHC
OUT
OVBC
OVLY
OXBR
OZM
OZRK
PAAC
PACE
PACW
PB
PBCT
PBHC
PBIB
PBIP
PBSK
PCBK
PCH
PDM
PEB
PEBK
PEBO
PEI
PFBC
PFBI
PFBX
PFG
PFIS
PFLT
PFMT
PFS
PFSI
PGC
PGR
PGRE
PHH
PIH
PJC
PJT
PKBK
PKY
PLBC
PLD
PLPM
PMBC
PMT
PNBK
PNC
PNFP
PNNT
POPE
PPBI
PPS
PRA
PRAA
PRI
PRK
PROV
PSA
PSB
PSTB
PUB
PUK
PVBC
PVTB
PW
PWOD
PYDS
PYPL
PZN
QCRH
QIWI
QPAC
QTS
RAND
RAS
RBCAA
RBPAA
RBS
RDN
RE
REG
RELY
RESI
REXI
REXR
RF
RGA
RHP
RILY
RLGY
RLI
RLJ
RM
RMAX
RNR
RNST
ROIC
RPAI
RPT
RSE
RSO
RVSB
RWT
RY
RYN
SAFT
SAL
SAMG
SAN
SASR
SBBX
SBCF
SBCP
SBFG
SBNY
SBRA
SBSI
SBY
SC
SCM
SEIC
SF
SFBC
SFBS
SFE
SFNC
SFST
SGB
SGBK
SGM
SHBI
SHG
SHO
SIEB
SIFI
SIR
SIVB
SKT
SLCT
SLF
SLG
SMBC
SMFG
SMMF
SNBC
SNC
SNFCA
SNH
SNR
SNV
SOCB
SOHO
SONA
SPG
SPLP
SQ
SRC
SRCE
SRG
SSB
SSBI
SSFN
STAG
STAR
STBA
STBZ
STC
STFC
STI
STL
STOR
STRS
STT
STWD
SUI
SUNS
SVBI
SVVC
SYBT
SYF
TAX
TAXI
TBBK
TBK
TBNK
TCAP
TCB
TCBI
TCBK
TCFC
TCI
TCO
TCPC
TCRD
TD
TFSC
TFSL
TGH
THFF
THG
TICC
TIER
TIL
TINY
TIPT
TLMR
TMK
TMP
TOWN
TPHS
TPL
TPRE
TPVG
TRCB
TREE
TRMK
TRNO
TROW
TRST
TRTL
TRUP
TRV
TSBK
TSC
TSLX
TSS
TWO
UBA
UBCP
UBFO
UBNK
UBOH
UBS
UBSH
UBSI
UCBA
UCBI
UCFC
UDF
UDR
UE
UEPS
UFCS
UHAL
UHT
UIHC
UMBF
UMH
UMPQ
UNAM
UNB
UNM
UNTY
USB
USBI
UVE
UVSP
V
VBFC
VBTX
VER
VLY
VNO
VNTV
VOYA
VR
VRTB
VRTS
VTR
WABC
WAC
WAFD
WAL
WASH
WAYN
WBB
WBK
WBKC
WBS
WD
WDR
WEBK
WETF
WEX
WF
WFBI
WFC
WFD
WHF
WHG
WHLM
WHLR
WIBC
WINS
WINT
WLFC
WLRH
WMC
WMIH
WPC
WPG
WRB
WRE
WRI
WRLD
WSBC
WSBF
WSFS
WSR
WTBA
WTFC
WTM
WU
WVFC
WY
XBKS
XHR
XIN
XL
Y
YCB
YDKN
ZAIS
ZFC
